lat,lon,tas_anomaly,year,scenario
-52.605633,223.75,0.853,2030,ssp245
-52.605633,233.75,1.034,2030,ssp245
-52.605633,243.75,1.062,2030,ssp245
-52.605633,253.75,1.055,2030,ssp245
-52.605633,263.75,1.159,2030,ssp245
-52.605633,273.75,1.072,2030,ssp245
-52.605633,283.75,1.08,2030,ssp245
-52.605633,293.75,1.229,2030,ssp245
-52.605633,303.75,1.03,2030,ssp245
-52.605633,313.75,0.847,2030,ssp245
-52.605633,323.75,0.882,2030,ssp245
-52.605633,333.75,0.953,2030,ssp245
-52.605633,343.75,0.917,2030,ssp245
-52.605633,353.75,1.171,2030,ssp245
-47.535213,3.75,1.074,2030,ssp245
-47.535213,13.75,1.362,2030,ssp245
-47.535213,23.75,1.46,2030,ssp245
-47.535213,33.75,1.473,2030,ssp245
-47.535213,43.75,1.485,2030,ssp245
-47.535213,53.75,1.316,2030,ssp245
-47.535213,63.75,1.064,2030,ssp245
-47.535213,73.75,0.916,2030,ssp245
-47.535213,83.75,0.725,2030,ssp245
-47.535213,93.75,0.727,2030,ssp245
-47.535213,103.75,0.855,2030,ssp245
-47.535213,113.75,1.01,2030,ssp245
-47.535213,123.75,0.997,2030,ssp245
-47.535213,133.75,0.843,2030,ssp245
-47.535213,143.75,0.885,2030,ssp245
-47.535213,153.75,0.798,2030,ssp245
-47.535213,163.75,0.536,2030,ssp245
-47.535213,173.75,0.416,2030,ssp245
-47.535213,183.75,0.47,2030,ssp245
-47.535213,193.75,0.413,2030,ssp245
-47.535213,203.75,0.531,2030,ssp245
-47.535213,213.75,0.792,2030,ssp245
-47.535213,223.75,0.896,2030,ssp245
-47.535213,233.75,0.884,2030,ssp245
-47.535213,243.75,0.795,2030,ssp245
-47.535213,253.75,0.775,2030,ssp245
-47.535213,263.75,0.9,2030,ssp245
-47.535213,273.75,0.963,2030,ssp245
-47.535213,283.75,1.243,2030,ssp245
-47.535213,293.75,1.571,2030,ssp245
-47.535213,303.75,1.192,2030,ssp245
-47.535213,313.75,1.23,2030,ssp245
-47.535213,323.75,0.981,2030,ssp245
-47.535213,333.75,0.782,2030,ssp245
-47.535213,343.75,0.696,2030,ssp245
-47.535213,353.75,0.726,2030,ssp245
-42.46479,3.75,1.086,2030,ssp245
-42.46479,13.75,1.411,2030,ssp245
-42.46479,23.75,1.56,2030,ssp245
-42.46479,33.75,1.645,2030,ssp245
-42.46479,43.75,1.5,2030,ssp245
-42.46479,53.75,1.225,2030,ssp245
-42.46479,63.75,0.914,2030,ssp245
-42.46479,73.75,0.744,2030,ssp245
-42.46479,83.75,0.799,2030,ssp245
-42.46479,93.75,0.938,2030,ssp245
-42.46479,103.75,1.031,2030,ssp245
-42.46479,113.75,1.185,2030,ssp245
-42.46479,123.75,1.178,2030,ssp245
-42.46479,133.75,1.287,2030,ssp245
-42.46479,143.75,1.282,2030,ssp245
-42.46479,153.75,1.346,2030,ssp245
-42.46479,163.75,0.918,2030,ssp245
-42.46479,173.75,0.935,2030,ssp245
-42.46479,183.75,0.698,2030,ssp245
-42.46479,193.75,0.537,2030,ssp245
-42.46479,203.75,0.574,2030,ssp245
-42.46479,213.75,0.657,2030,ssp245
-42.46479,223.75,0.894,2030,ssp245
-42.46479,233.75,0.951,2030,ssp245
-42.46479,243.75,0.884,2030,ssp245
-42.46479,253.75,0.789,2030,ssp245
-42.46479,263.75,0.934,2030,ssp245
-42.46479,273.75,1.073,2030,ssp245
-42.46479,283.75,1.17,2030,ssp245
-42.46479,293.75,1.731,2030,ssp245
-42.46479,303.75,1.557,2030,ssp245
-42.46479,313.75,1.839,2030,ssp245
-42.46479,323.75,1.385,2030,ssp245
-42.46479,333.75,0.978,2030,ssp245
-42.46479,343.75,0.84,2030,ssp245
-42.46479,353.75,0.714,2030,ssp245
-37.394363,3.75,1.131,2030,ssp245
-37.394363,13.75,1.329,2030,ssp245
-37.394363,23.75,1.302,2030,ssp245
-37.394363,33.75,1.418,2030,ssp245
-37.394363,43.75,1.067,2030,ssp245
-37.394363,53.75,0.646,2030,ssp245
-37.394363,63.75,0.48,2030,ssp245
-37.394363,73.75,0.595,2030,ssp245
-37.394363,83.75,0.845,2030,ssp245
-37.394363,93.75,0.999,2030,ssp245
-37.394363,103.75,1.13,2030,ssp245
-37.394363,113.75,1.018,2030,ssp245
-37.394363,123.75,1.192,2030,ssp245
-37.394363,133.75,1.392,2030,ssp245
-37.394363,143.75,1.605,2030,ssp245
-37.394363,153.75,1.812,2030,ssp245
-37.394363,163.75,1.304,2030,ssp245
-37.394363,173.75,1.289,2030,ssp245
-37.394363,183.75,0.987,2030,ssp245
-37.394363,193.75,0.848,2030,ssp245
-37.394363,203.75,0.784,2030,ssp245
-37.394363,213.75,0.87,2030,ssp245
-37.394363,223.75,1.167,2030,ssp245
-37.394363,233.75,1.271,2030,ssp245
-37.394363,243.75,1.241,2030,ssp245
-37.394363,253.75,0.982,2030,ssp245
-37.394363,263.75,0.965,2030,ssp245
-37.394363,273.75,1.166,2030,ssp245
-37.394363,283.75,0.951,2030,ssp245
-37.394363,293.75,1.861,2030,ssp245
-37.394363,303.75,1.535,2030,ssp245
-37.394363,313.75,1.476,2030,ssp245
-37.394363,323.75,1.334,2030,ssp245
-37.394363,333.75,1.219,2030,ssp245
-37.394363,343.75,0.841,2030,ssp245
-37.394363,353.75,0.643,2030,ssp245
-32.323944,3.75,1.081,2030,ssp245
-32.323944,13.75,1.066,2030,ssp245
-32.323944,23.75,1.718,2030,ssp245
-32.323944,33.75,1.181,2030,ssp245
-32.323944,43.75,0.698,2030,ssp245
-32.323944,53.75,0.541,2030,ssp245
-32.323944,63.75,0.564,2030,ssp245
-32.323944,73.75,0.661,2030,ssp245
-32.323944,83.75,1.014,2030,ssp245
-32.323944,93.75,1.264,2030,ssp245
-32.323944,103.75,1.265,2030,ssp245
-32.323944,113.75,1.308,2030,ssp245
-32.323944,123.75,1.434,2030,ssp245
-32.323944,133.75,1.198,2030,ssp245
-32.323944,143.75,1.568,2030,ssp245
-32.323944,153.75,1.369,2030,ssp245
-32.323944,163.75,1.091,2030,ssp245
-32.323944,173.75,1.228,2030,ssp245
-32.323944,183.75,1.156,2030,ssp245
-32.323944,193.75,0.967,2030,ssp245
-32.323944,203.75,1.018,2030,ssp245
-32.323944,213.75,1.149,2030,ssp245
-32.323944,223.75,1.241,2030,ssp245
-32.323944,233.75,1.445,2030,ssp245
-32.323944,243.75,1.336,2030,ssp245
-32.323944,253.75,1.033,2030,ssp245
-32.323944,263.75,0.91,2030,ssp245
-32.323944,273.75,1.071,2030,ssp245
-32.323944,283.75,0.674,2030,ssp245
-32.323944,293.75,1.725,2030,ssp245
-32.323944,303.75,1.51,2030,ssp245
-32.323944,313.75,1.027,2030,ssp245
-32.323944,323.75,1.183,2030,ssp245
-32.323944,333.75,1.068,2030,ssp245
-32.323944,343.75,0.813,2030,ssp245
-32.323944,353.75,0.88,2030,ssp245
-27.253521,3.75,1.192,2030,ssp245
-27.253521,13.75,1.624,2030,ssp245
-27.253521,23.75,1.925,2030,ssp245
-27.253521,33.75,1.353,2030,ssp245
-27.253521,43.75,0.813,2030,ssp245
-27.253521,53.75,0.833,2030,ssp245
-27.253521,63.75,0.968,2030,ssp245
-27.253521,73.75,0.97,2030,ssp245
-27.253521,83.75,1.102,2030,ssp245
-27.253521,93.75,1.252,2030,ssp245
-27.253521,103.75,1.359,2030,ssp245
-27.253521,113.75,1.777,2030,ssp245
-27.253521,123.75,1.951,2030,ssp245
-27.253521,133.75,1.558,2030,ssp245
-27.253521,143.75,1.547,2030,ssp245
-27.253521,153.75,1.406,2030,ssp245
-27.253521,163.75,1.403,2030,ssp245
-27.253521,173.75,1.339,2030,ssp245
-27.253521,183.75,1.102,2030,ssp245
-27.253521,193.75,1.015,2030,ssp245
-27.253521,203.75,1.121,2030,ssp245
-27.253521,213.75,1.264,2030,ssp245
-27.253521,223.75,1.185,2030,ssp245
-27.253521,233.75,1.169,2030,ssp245
-27.253521,243.75,1.043,2030,ssp245
-27.253521,253.75,0.955,2030,ssp245
-27.253521,263.75,0.958,2030,ssp245
-27.253521,273.75,0.94,2030,ssp245
-27.253521,283.75,0.567,2030,ssp245
-27.253521,293.75,1.658,2030,ssp245
-27.253521,303.75,1.28,2030,ssp245
-27.253521,313.75,0.766,2030,ssp245
-27.253521,323.75,0.917,2030,ssp245
-27.253521,333.75,0.8,2030,ssp245
-27.253521,343.75,0.807,2030,ssp245
-27.253521,353.75,0.962,2030,ssp245
-22.1831,3.75,1.563,2030,ssp245
-22.1831,13.75,1.979,2030,ssp245
-22.1831,23.75,1.957,2030,ssp245
-22.1831,33.75,1.443,2030,ssp245
-22.1831,43.75,1.117,2030,ssp245
-22.1831,53.75,0.839,2030,ssp245
-22.1831,63.75,1.059,2030,ssp245
-22.1831,73.75,1.01,2030,ssp245
-22.1831,83.75,1.153,2030,ssp245
-22.1831,93.75,1.211,2030,ssp245
-22.1831,103.75,1.402,2030,ssp245
-22.1831,113.75,1.703,2030,ssp245
-22.1831,123.75,1.717,2030,ssp245
-22.1831,133.75,1.705,2030,ssp245
-22.1831,143.75,1.302,2030,ssp245
-22.1831,153.75,1.515,2030,ssp245
-22.1831,163.75,1.435,2030,ssp245
-22.1831,173.75,1.238,2030,ssp245
-22.1831,183.75,1.034,2030,ssp245
-22.1831,193.75,0.94,2030,ssp245
-22.1831,203.75,1.162,2030,ssp245
-22.1831,213.75,1.257,2030,ssp245
-22.1831,223.75,1.038,2030,ssp245
-22.1831,233.75,0.985,2030,ssp245
-22.1831,243.75,1.021,2030,ssp245
-22.1831,253.75,0.988,2030,ssp245
-22.1831,263.75,0.991,2030,ssp245
-22.1831,273.75,0.734,2030,ssp245
-22.1831,283.75,0.723,2030,ssp245
-22.1831,293.75,1.497,2030,ssp245
-22.1831,303.75,1.433,2030,ssp245
-22.1831,313.75,1.117,2030,ssp245
-22.1831,323.75,0.569,2030,ssp245
-22.1831,333.75,0.597,2030,ssp245
-22.1831,343.75,0.74,2030,ssp245
-22.1831,353.75,1.1,2030,ssp245
-17.112675,3.75,1.819,2030,ssp245
-17.112675,13.75,1.744,2030,ssp245
-17.112675,23.75,1.955,2030,ssp245
-17.112675,33.75,1.653,2030,ssp245
-17.112675,43.75,1.184,2030,ssp245
-17.112675,53.75,1.035,2030,ssp245
-17.112675,63.75,1.136,2030,ssp245
-17.112675,73.75,1.115,2030,ssp245
-17.112675,83.75,1.209,2030,ssp245
-17.112675,93.75,1.396,2030,ssp245
-17.112675,103.75,1.51,2030,ssp245
-17.112675,113.75,1.443,2030,ssp245
-17.112675,123.75,1.233,2030,ssp245
-17.112675,133.75,1.345,2030,ssp245
-17.112675,143.75,1.52,2030,ssp245
-17.112675,153.75,1.65,2030,ssp245
-17.112675,163.75,1.248,2030,ssp245
-17.112675,173.75,1.034,2030,ssp245
-17.112675,183.75,1.013,2030,ssp245
-17.112675,193.75,1.138,2030,ssp245
-17.112675,203.75,1.281,2030,ssp245
-17.112675,213.75,1.136,2030,ssp245
-17.112675,223.75,1.057,2030,ssp245
-17.112675,233.75,1.061,2030,ssp245
-17.112675,243.75,1.079,2030,ssp245
-17.112675,253.75,1.004,2030,ssp245
-17.112675,263.75,1.01,2030,ssp245
-17.112675,273.75,0.855,2030,ssp245
-17.112675,283.75,0.905,2030,ssp245
-17.112675,293.75,1.564,2030,ssp245
-17.112675,303.75,1.334,2030,ssp245
-17.112675,313.75,1.428,2030,ssp245
-17.112675,323.75,0.643,2030,ssp245
-17.112675,333.75,0.751,2030,ssp245
-17.112675,343.75,1.025,2030,ssp245
-17.112675,353.75,1.416,2030,ssp245
-12.0422535,3.75,1.559,2030,ssp245
-12.0422535,13.75,1.453,2030,ssp245
-12.0422535,23.75,1.705,2030,ssp245
-12.0422535,33.75,1.723,2030,ssp245
-12.0422535,43.75,1.174,2030,ssp245
-12.0422535,53.75,1.272,2030,ssp245
-12.0422535,63.75,1.327,2030,ssp245
-12.0422535,73.75,1.3,2030,ssp245
-12.0422535,83.75,1.323,2030,ssp245
-12.0422535,93.75,1.387,2030,ssp245
-12.0422535,103.75,1.349,2030,ssp245
-12.0422535,113.75,1.306,2030,ssp245
-12.0422535,123.75,1.334,2030,ssp245
-12.0422535,133.75,1.42,2030,ssp245
-12.0422535,143.75,1.484,2030,ssp245
-12.0422535,153.75,1.384,2030,ssp245
-12.0422535,163.75,1.117,2030,ssp245
-12.0422535,173.75,1.03,2030,ssp245
-12.0422535,183.75,1.128,2030,ssp245
-12.0422535,193.75,1.106,2030,ssp245
-12.0422535,203.75,1.072,2030,ssp245
-12.0422535,213.75,0.963,2030,ssp245
-12.0422535,223.75,0.925,2030,ssp245
-12.0422535,233.75,0.975,2030,ssp245
-12.0422535,243.75,1.042,2030,ssp245
-12.0422535,253.75,1.1,2030,ssp245
-12.0422535,263.75,1.186,2030,ssp245
-12.0422535,273.75,0.867,2030,ssp245
-12.0422535,283.75,1.25,2030,ssp245
-12.0422535,293.75,1.411,2030,ssp245
-12.0422535,303.75,1.379,2030,ssp245
-12.0422535,313.75,1.13,2030,ssp245
-12.0422535,323.75,0.822,2030,ssp245
-12.0422535,333.75,1.019,2030,ssp245
-12.0422535,343.75,1.139,2030,ssp245
-12.0422535,353.75,1.369,2030,ssp245
-6.9718313,3.75,1.52,2030,ssp245
-6.9718313,13.75,1.58,2030,ssp245
-6.9718313,23.75,1.859,2030,ssp245
-6.9718313,33.75,1.562,2030,ssp245
-6.9718313,43.75,1.178,2030,ssp245
-6.9718313,53.75,1.226,2030,ssp245
-6.9718313,63.75,1.384,2030,ssp245
-6.9718313,73.75,1.421,2030,ssp245
-6.9718313,83.75,1.354,2030,ssp245
-6.9718313,93.75,1.288,2030,ssp245
-6.9718313,103.75,1.291,2030,ssp245
-6.9718313,113.75,1.288,2030,ssp245
-6.9718313,123.75,1.327,2030,ssp245
-6.9718313,133.75,1.404,2030,ssp245
-6.9718313,143.75,1.405,2030,ssp245
-6.9718313,153.75,1.129,2030,ssp245
-6.9718313,163.75,1.031,2030,ssp245
-6.9718313,173.75,0.996,2030,ssp245
-6.9718313,183.75,0.989,2030,ssp245
-6.9718313,193.75,1.022,2030,ssp245
-6.9718313,203.75,1.019,2030,ssp245
-6.9718313,213.75,0.982,2030,ssp245
-6.9718313,223.75,0.96,2030,ssp245
-6.9718313,233.75,0.924,2030,ssp245
-6.9718313,243.75,0.941,2030,ssp245
-6.9718313,253.75,0.947,2030,ssp245
-6.9718313,263.75,0.963,2030,ssp245
-6.9718313,273.75,0.705,2030,ssp245
